,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
75,"you broke me first","Tate McRae",7671141,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
76,2/Catorce,"Rauw Alejandro",7666120,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
77,"Volta Bebê, Volta Neném","Dj Guuga",7558643,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
78,"My Head & My Heart","Ava Max",7554603,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
79,Miénteme,TINI,7512249,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
80,"Dick (feat. Doja Cat)",StarBoi3,7469387,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
81,"Another Love","Tom Odell",7433141,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
82,Bipolar,"Mc Davi",7427924,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
83,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled",7347891,https://open.spotify.com/track/20GrahbI4AzAOWxpYfDKkf
84,"WAP (feat. Megan Thee Stallion)","Cardi B",7248351,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
85,Circles,"Post Malone",7213973,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
86,"In the morning",ITZY,7167760,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
87,"Follow You","Imagine Dragons",7097890,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
88,512,Mora,7086676,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
89,Reloj,"Rauw Alejandro",7078207,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
90,Shallow,"Lady Gaga",7075380,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,Heather,"Conan Gray",7032159,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
92,Whoopty,CJ,7021218,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
93,"bad guy","Billie Eilish",7019682,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
94,"Martin & Gina","Polo G",6966874,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
95,"Wasted Love (feat. Lagique)",Ofenbach,6905947,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
96,"Therefore I Am","Billie Eilish",6889948,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
97,goosebumps,"Travis Scott",6883677,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
98,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,6860205,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5
99,"Prisoner (feat. Dua Lipa)","Miley Cyrus",6840352,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
100,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6832707,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
101,Freaks,"Surf Curse",6816969,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
102,"Solid (feat. Drake)","Young Stoner Life",6815111,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
103,"GIRL LIKE ME","Black Eyed Peas",6777335,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
104,Believer,"Imagine Dragons",6754334,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,"What You Know Bout Love","Pop Smoke",6753816,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
106,Hawái,Maluma,6694471,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
107,Memories,"Maroon 5",6635193,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
108,"Adore You","Harry Styles",6450983,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
109,Señorita,"Shawn Mendes",6439444,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
110,"Holy (feat. Chance The Rapper)","Justin Bieber",6414445,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
111,"Shape of You","Ed Sheeran",6409854,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"Lucid Dreams","Juice WRLD",6358185,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
113,"Take Me To Church",Hozier,6356149,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
114,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",6327644,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
115,"death bed (coffee for your head)",Powfu,6280985,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
116,Aloha,Maluma,6227472,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
117,"Breaking Me",Topic,6198758,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
118,"Say You Won't Let Go","James Arthur",6130423,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
119,BICHOTA,"KAROL G",6058947,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
120,Run,OneRepublic,6050314,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
121,Yellow,Coldplay,6048219,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
122,"Dreams - 2004 Remaster","Fleetwood Mac",6045391,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
123,"Slumber Party (feat. Princess Nokia)",Ashnikko,6039524,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
124,Perfect,"Ed Sheeran",6037741,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
125,"Bohemian Rhapsody - Remastered 2011",Queen,5944192,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
126,"Disco Arranhado - Funk Remix",Malu,5928333,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
127,"Break My Heart","Dua Lipa",5915365,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
128,You,Regard,5881730,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
129,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",5871337,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
130,"Tipo Gin - Ao Vivo","MC Kevin o Chris",5854299,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
131,"Liberdade (Quando o Grave Bate Forte)",Alok,5843932,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
132,Body,"Russ Millions",5831357,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
133,"Daddy Issues","The Neighbourhood",5817129,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
134,Golden,"Harry Styles",5816359,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
135,"What’s Next",Drake,5814742,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
136,"Travesuras - Remix","Nio Garcia",5768917,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
137,"Savage Love (Laxed - Siren Beat)","Jawsh 685",5750279,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
138,"Just the Way You Are","Bruno Mars",5739303,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
139,"Cloud 9","Beach Bunny",5712922,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
140,"The Nights",Avicii,5708884,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
141,"The Box","Roddy Ricch",5691325,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
142,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",5679178,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
143,"Wake Me Up",Avicii,5671670,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
144,"No Role Modelz","J. Cole",5663001,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
145,"Ride It",Regard,5661901,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
146,"All of Me","John Legend",5635058,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
147,"7 rings","Ariana Grande",5631722,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
