track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
0v9Wz8o0BT8DU38R4ddjeH,0.795,0.123,135.018,0.174,0.156,0,0.652,11,304607,-5.192,0,0.788
4sPmO7WMQUAf45kwMOtONw,0.451,0.0872,157.966,0.0347,0.336,0,0.481,5,295493,-6.095,0,0.289
12REd1n8PeiHHWOh066tpr,0.559,0.164,119.247,0.0565,0.436,0,0.494,0,233337,-5.445,1,0.264
6O6M7pJLABmfBRoGZMu76Y,0.806,0.244,100.033,0.0466,0.0361,0.00413,0.716,4,225800,-7.602,1,0.347
2EEeOnHehOozLq4aS0n6SL,0.653,0.229,75.016,0.289,0.378,0,0.746,7,253107,-6.745,1,0.672
0gb1J5UrTpzaU1s3nupgCd,0.916,0.24,126.01,0.0397,0.0282,0.00762,0.671,6,189127,-4.014,0,0.803
2aksifNn5ph8igDOkPBA02,0.637,0.0789,172.006,0.0471,0.0717,1.08e-05,0.509,4,224000,-4.83,0,0.378
6DUdDIRgLqCGq1DwkNWQTN,0.701,0.151,175.95,0.106,0.132,0,0.73,5,207307,-5.885,0,0.785
20dP2DaMHIAmwWAbp7peSr,0.739,0.226,136.919,0.129,0.114,0,0.711,7,252256,-3.804,0,0.43
1Bqxj0aH5KewYHKUg1IdrF,0.525,0.0729,130.271,0.47,0.0705,0,0.634,0,222467,-8.968,1,0.49
3pzjHKrQSvXGHQ98dx18HI,0.567,0.0811,125.02,0.0956,0.59,0.00142,0.845,5,205680,-8.118,0,0.793
1WP1r7fuvRqZRnUaTi2I1Q,0.754,0.0486,149.882,0.067,0.0152,0,0.746,1,206880,-6.681,1,0.764
0utlOiJy2weVl9WTkcEWHy,0.283,0.11,138.97,0.356,0.319,0.000383,0.898,6,216520,-12.335,0,0.469
5mey7CLLuFToM2P68Qu1gF,0.954,0.112,104.029,0.119,0.0244,0,0.68,9,247493,-1.823,1,0.521
3dQDid3IUNhZy1OehIfYfE,0.909,0.255,96.031,0.166,0.256,0,0.772,6,238800,-3.225,0,0.694
2ANLarE8yHVsLWW21nj79M,0.359,0.12,81.987,0.461,0.069,0,0.843,0,163944,-7.417,1,0.156
3cFsmM51N5zMAuu1nNY4Tw,0.891,0.256,102.002,0.119,0.0437,0,0.741,7,221176,-2.824,1,0.449
5hEM0JchdVzQ5PwvSfITeX,0.838,0.0664,93.05,0.0529,0.547,1.3e-06,0.76,7,210323,-3.828,0,0.745
7zTx8ePYAmPFQuxP3xlXZn,0.763,0.0932,150.088,0.0573,0.0857,2.49e-06,0.57,1,239853,-4.137,1,0.43
2s76aKBWKShlwPC4xTtEEE,0.674,0.0784,113.956,0.0337,0.11,0.000626,0.706,9,207307,-6.977,1,0.545
37F0uwRSrdzkBiuj0D5UHI,0.505,0.164,160.053,0.193,0.142,0,0.706,8,218880,-6.923,1,0.388
2FBUoWkIuQXwayw2RNo5l6,0.62,0.0504,134.96,0.0587,0.00347,0.000119,0.903,2,267067,-8.094,1,0.539
0lmdsH1MIoLsMymnNpd6HU,0.774,0.113,102.949,0.0697,0.101,0,0.68,1,163841,-3.136,0,0.331
7of1slAJIWrXxP8ikAHxje,0.605,0.106,120.017,0.0531,0.104,0.00488,0.88,5,206099,-7.639,0,0.626
27GmP9AWRs744SzKcpJsTZ,0.553,0.332,142.079,0.187,0.0559,0,0.852,1,205879,-7.286,1,0.656
6AGON2BGdPmPMJGiiNuuwl,0.43,0.126,92.039,0.309,0.455,2.73e-06,0.744,3,201667,-10.604,0,0.266
0KKkJNfGyhkQ5aFogxQAPU,0.56,0.0944,134.066,0.0406,0.013,0,0.853,1,206693,-4.961,1,0.86
6mapJIPnQ23RTAevUoE0DL,0.314,0.1,139.992,0.0581,0.2,9.82e-06,0.681,8,208120,-9.319,1,0.166
36YCdzT57us0LhDmCYtrNE,0.885,0.0821,112.878,0.206,0.0133,0,0.738,9,232880,-5.547,0,0.752
0OwX5aROoW1Iip8FV51Efg,0.589,0.176,146.928,0.232,0.0812,0,0.756,0,205593,-5.093,1,0.811
26hcyzSE154xMZCbFdtInA,0.937,0.154,103.961,0.0509,0.152,0,0.675,0,218507,-3.525,0,0.567
25khomWgBVamSdKw7hzm3l,0.567,0.137,135.553,0.0798,0.0861,0,0.356,0,242253,-7.011,0,0.109
6WhzFzROw3aq3rPWjgYlxr,0.412,0.134,113.049,0.344,0.615,0.0025,0.6,8,225882,-9.343,1,0.408
5Ua3GXyHwiSfpNTMjq6m2z,0.718,0.403,101.821,0.0978,0.032,0,0.607,4,213307,-4.095,1,0.551
4PdJSsESm34djLfBde9Pr2,0.826,0.631,123.986,0.309,0.00718,0,0.671,7,197648,-5.766,0,0.774
0JoHqmlqE0W0i9prt6kcHR,0.547,0.107,130.099,0.0541,0.0983,4.35e-06,0.772,6,278107,-6.373,0,0.0957
5dKyZWlgjWw1oJgLa4GCZD,0.71,0.074,102.022,0.109,0.335,4.76e-06,0.671,9,199179,-6.997,0,0.233
13HVjjWUZFaWilh2QUJKsP,0.311,0.107,147.464,0.0288,0.818,1.65e-05,0.546,1,260533,-10.396,1,0.246
1AkTW13ysu0AJrwuM6UY0I,0.889,0.363,101.032,0.0939,0.0673,0,0.723,0,224320,-4.017,1,0.701
1sTUEdVO85YU8Ymk2jeAls,0.794,0.0616,95.902,0.0675,0.0217,0,0.273,7,214745,-6.644,0,0.377
7EiZI6JVHllARrX9PUvAdX,0.331,0.146,143.961,0.0726,0.337,0.282,0.722,8,313547,-7.789,1,0.102
3cNjgVBKTJ1SvKhunrCdVy,0.768,0.294,84.264,0.0587,0.0118,1.94e-05,0.513,4,210580,-4.868,0,0.235
6RsWqX8zABZLhZydXxEFOm,0.77,0.103,107.951,0.0482,0.124,0,0.702,9,213520,-5.416,0,0.593
0FuTx2s3YH1ppmtiM6l0zI,0.654,0.0838,95.921,0.0372,0.0545,0,0.623,0,220291,-5.675,0,0.401
2LBqCSwhJGcFQeTHMVGwy3,0.525,0.134,133.629,0.0615,0.111,0,0.586,1,260253,-7.163,0,0.508
5Z01UMMf7V1o0MzF86s6WJ,0.744,0.359,171.374,0.257,0.00868,0.000423,0.692,2,326467,-4.565,1,0.0612
3RiPr603aXAoi4GHyXx0uy,0.693,0.325,90.027,0.0377,0.211,6.92e-06,0.491,0,258267,-6.487,0,0.412
4QdovcM8j50QPlyR7tH4xe,0.65,0.186,85.026,0.192,0.0398,0,0.693,1,218480,-8.376,1,0.663
042x9bsUBWW2fJgJ6fUh61,0.733,0.237,108.992,0.152,0.0933,2.23e-05,0.713,6,196307,-6.431,1,0.502
4sQMalN597HdggTu196aL0,0.532,0.0617,74.963,0.0295,0.0668,3.22e-06,0.598,3,262521,-6.833,0,0.261
62vpWI1CHwFy7tMIcSStl8,0.521,0.0565,100.45,0.33,0.301,0,0.692,10,292987,-8.465,0,0.463
50PWlIBU7PlGGwzgN8TiFJ,0.449,0.107,129.889,0.0451,0.477,0,0.668,0,205280,-7.897,1,0.154
3DX4Y0egvc0slLcLl31h2p,0.771,0.46,109.948,0.0533,0.0155,9.6e-06,0.665,0,265600,-5.779,1,0.764
78sr3ogs4UzITcCNbXM9cM,0.727,0.196,164.992,0.208,0.0312,0,0.618,3,180520,-7.224,0,0.401
7Kq16WtEJzdRSNQgdXsn7Y,0.764,0.185,88.867,0.142,0.141,0.00358,0.672,3,192160,-5.109,0,0.763
32OlwWuMpZ6b0aN2RZOeMS,0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,0.856,0,269667,-7.223,1,0.928
7w87IxuO7BDcJ3YUqCyMTT,0.71,0.0956,127.975,0.0292,0.145,0.115,0.733,5,239600,-5.849,0,0.965
1AhDOtG9vPSOmsWgNW0BEY,0.404,0.3,71.105,0.0499,0.271,0,0.414,0,354320,-9.928,0,0.224
1lxswgIpzV6HhENRvkflES,0.646,0.247,92.057,0.0766,0.0724,0,0.827,1,197840,-4.727,0,0.512
