artist_id,artist_name,genres,popularity,followers
0BHm7qbh3ENxvXzkQAG7MP,Mari Fernandez,"['arrocha', 'arrochadeira']",75,506414
3cjEqqelV9zb4BYE3qDQ4O,EXO,"['k-pop', 'k-pop boy group']",69,9145188
0b1sIQumIAsNbqAoIClSpy,j-hope,"['k-pop', 'k-rap']",69,10912964
72Nhcx7prNk2ZCxhx0Y5es,Amy Grant,"['christian alternative rock', 'christian music']",53,186289
2otUckChxWf2cp6UP2cD6e,Zuna,"['albanian hip hop', 'german hip hop']",65,962679
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pop', 'post-teen pop', 'talent show']",68,2722328
64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,['modern alternative pop'],66,145692
74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",65,696670
71jSVPQ6yskfyvWeiwvT5s,S1mba,['afroswing'],66,70504
1cYhx7ZOhYoVmnDPb9KMwo,Mc Davi,"['funk carioca', 'funk ostentacao', 'funk paulista']",71,3293786
5RaQ9nmVGoTye2SI76x3yw,Kofs,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",62,316301
6YVMFz59CuY7ngCxTxjpxE,aespa,['k-pop girl group'],71,2149658
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,"['electropop', 'pop']",72,1989411
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",83,4232863
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",64,3298828
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",75,2370866
0NIPkIjTV8mB795yEIiPYL,Wallows,"['indie pop', 'modern rock', 'pop']",71,2373018
7eLcDZDYHXZCebtQmVFL25,Aitana,"['latin pop', 'latin talent show', 'spanish pop']",75,2080095
2X97ZAqRKRMYFIDqtvGgGc,Silk City,['edm'],57,76956
26AHtbjWKiwYzsoGoUZq53,Pentatonix,['a cappella'],63,3350399
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71,2580654
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']",73,6648691
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,"['adult standards', 'brill building pop', 'lounge', 'rockabilly']",52,268513
0lzV2CiahHRiGd6qpADtPS,James Hersey,[],48,51615
5L1lO4eRHmJ7a0Q6csE5cT,LISA,['k-pop'],70,3308839
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,"['latin', 'latin pop', 'puerto rican pop']",68,1500178
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,"['melodic rap', 'trap']",76,1500795
027TpXKGwdXP7iwbjUSpV8,The Walters,['chicago indie'],70,374087
5YCc6xS5Gpj3EkaYGdjyNK,WOS,"['argentine indie', 'trap argentino']",71,2776020
